2021-11-21 14:29:22 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | **F20 ADE STARTED**
2021-11-21 14:29:23 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Target Version: F20
2021-11-21 14:29:23 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Check Multiple Instance: OK
2021-11-21 14:29:23 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | Program Args
2021-11-21 14:29:26 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | Version From: Steam
2021-11-21 14:29:26 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Configs Path: C:\Users\toffe\AppData\Roaming\Microsoft Flight Simulator
2021-11-21 14:29:26 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Content Path: D:\Microsoft Flight Simulator\Packages
2021-11-21 14:29:26 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | SDK Path: D:\MSFS SDK\
2021-11-21 14:29:26 | Info | ScruffyDuck.AirportDesignEditor.MainForm.LogVersions | 1 | ADE v20.19.7780  Tuesday, 20 April 2021
2021-11-21 14:29:29 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | ProKey Active
2021-11-21 14:30:36 | Info | ScruffyDuck.AirportDesignEditor.Program.Main | 1 | **F20 ADE STARTED**
2021-11-21 14:30:36 | Info | ScruffyDuck.AirportDesignEditor.Program.CheckForSingleInstance | 1 | Check Multiple Instance: ADE Already Running
2021-11-21 14:30:42 | Info | ScruffyDuck.AirportDesignEditor.MainForm..ctor | 1 | Projects Root Folder: D:\FS Design Tools\ADE 2020 Alpha 19\F20
2021-11-21 14:30:42 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Configs Path: C:\Users\toffe\AppData\Roaming\Microsoft Flight Simulator
2021-11-21 14:30:42 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | Content Path: D:\Microsoft Flight Simulator\Packages
2021-11-21 14:30:42 | Info | ScruffyDuck.AirportDesignEditor.Helpers.U.LoadCurrentF20Paths | 1 | SDK Path: D:\MSFS SDK\
2021-11-21 14:30:51 | Info | ScruffyDuck.AirportDesignEditor.MainForm.OnMainFormFormClosing | 1 | **F20 ADE CLOSING**
